# Wordlist

# META
@vowels:T V _
@json: {"params": {"cscorer": {"ratio": [2, 1], "vscale": 1.0, "runs": 1000, "scoring_threshold": 0.7, "preprocessing_threshold": 0.7, "modestring": "global-2-0.50:local-1-0.50", "factor": 0.3, "restricted_chars": "_T", "method": "shuffle", "preprocessing": "False:upgma:-2", "unattested": -5, "unexpected": 1e-05, "smooth": 1}, "cluster": "lexstat_upgma_0.50"}}

# DATA
ID	CONCEPT	COUNTERPART	IPA	DOCULECT	COGID	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	LEXSTATID
67	a measure of grain which is one-fourth of a kēla, used only in distant Upper Egypt	رفطاو	raftāw	EGYPTIAN ARABIC	67	r a f t ā w	5 7 3 1 7 6	AXMBYN	RABTAW	2	2.R.C 2.A.V 2.B.c 2.T.C 2.A.V 2.W.c	2.0 1.5 1.1 1.75 1.3 0.8	0	18
#
164	a place to scatter	ⲙⲁⲇⲱⲡ	madōr	COPTIC	55	m a d ō r	4 7 1 7 5	AXBYN	MATUR	1	1.M.C 1.A.V 1.T.C 1.U.V 1.R.c	2.0 1.5 1.75 1.3 0.8	0	19
#
179	a plant, flower of laurus nobilis	ⲣⲓⲧⲁ	rita	COPTIC	70	r i t a	5 7 1 7	AXBZ	RITA	1	1.R.C 1.I.V 1.T.C 1.A.V	2.0 1.5 1.75 0.8	0	20
#
70	a plant, sapindus	ريته	rīta	EGYPTIAN ARABIC	70	r ī t a	5 7 1 7	AXBZ	RITA	2	2.R.C 2.I.V 2.T.C 2.A.V	2.0 1.5 1.75 0.8	0	21
#
55	a pot for kneading	ماجور	majūr	EGYPTIAN ARABIC	55	m a j ū r	4 7 6 7 5	AXBYN	MAJYR	2	2.M.C 2.A.V 2.J.C 2.Y.V 2.R.c	2.0 1.5 1.75 1.3 0.8	0	22
#
2	a prayer book for the Copts	أجبيه	ajbiya	EGYPTIAN ARABIC	2	a j b iya	7 6 1 7	XMBZ	AJPI	2	2.A.V 2.J.c 2.P.C 2.I.V	1.5 1.1 1.75 0.8	0	23
#
24	a wooden door lock	ضبه	dabbah	EGYPTIAN ARABIC	24	d a bb a h	1 7 1 7 3	AXBYN	TAPAH	2	2.T.C 2.A.V 2.P.C 2.A.V 2.H.c	2.0 1.5 1.75 1.3 0.8	0	24
133	a wooden door lock	ⲧⲉⲡⲱ	tepō	COPTIC	24	t e p ō	1 7 1 7	AXBZ	TEPU	1	1.T.C 1.E.V 1.P.C 1.U.V	2.0 1.5 1.75 0.8	0	24
#
15	a word used by children when they try to frighten each other	بخ	bikh	EGYPTIAN ARABIC	15	b i k h	1 7 1 3	AXBC	PIKH	2	2.P.C 2.I.V 2.K.C 2.H.C	2.0 1.5 1.75 1.5	0	25
#
138	among fish	ⲕⲁϣⲟⲩ	kashou	COPTIC	29	k a s h ou	1 7 3 3 7	AXMBZ	KASHU	1	1.K.C 1.A.V 1.S.c 1.H.C 1.U.V	2.0 1.5 1.1 1.75 0.8	0	26
#
34	anchor	هوجل	hawjal	EGYPTIAN ARABIC	34	h a w j a l	3 7 6 6 7 5	AXMBYN	HAWJAL	2	2.H.C 2.A.V 2.W.c 2.J.C 2.A.V 2.L.c	2.0 1.5 1.1 1.75 1.3 0.8	0	28
143	anchor	ϩⲁⲩϫⲁⲗ	haudal	COPTIC	34	h au d a l	3 7 1 7 5	AXBYN	HATAL	1	1.H.C 1.A.V 1.T.C 1.A.V 1.L.c	2.0 1.5 1.75 1.3 0.8	0	27
#
101	axe	طوريه	tūrya	EGYPTIAN ARABIC	101	t ū r ya	1 7 5 7	AXBZ	TYRY	2	2.T.C 2.Y.V 2.R.C 2.Y.V	2.0 1.5 1.75 0.8	0	29
#
213	bark, growl	ⲟⲩⲁϩⲃⲉϩ	ouahbeh	COPTIC	104	oua h b e h	7 3 1 7 3	XMBYN	UHPEH	1	1.U.V 1.H.c 1.P.C 1.E.V 1.H.c	1.5 1.1 1.75 1.3 0.8	0	30
#
192	basket or crate	ⲇⲛⲟϥ	dnof	COPTIC	83	d n o f	1 4 7 3	ACXN	TNUB	1	1.T.C 1.N.C 1.U.V 1.B.c	2.0 1.5 1.5 0.8	0	31
#
202	be drunken	ⲧⲁϩⲉ	tahe	COPTIC	93	t a h e	1 7 3 7	AXBZ	TAHE	1	1.T.C 1.A.V 1.H.C 1.E.V	2.0 1.5 1.75 0.8	0	32
#
204	be gathered or collected	ⲧⲟⲟⲩⲧⲉ	tooute	COPTIC	95	t oou t e	1 7 1 7	AXBZ	TUTE	1	1.T.C 1.U.V 1.T.C 1.E.V	2.0 1.5 1.75 0.8	0	33
#
161	be impudent, persistent	ⲗⲟϭ	loch	COPTIC	52	l o c h	5 7 1 3	AXBC	LUCH	1	1.L.C 1.U.V 1.C.C 1.H.C	2.0 1.5 1.75 1.5	0	34
#
79	beat with a whip	شوشو	shawshaw	EGYPTIAN ARABIC	79	s h a w s h a w	3 3 7 6 3 3 7 6	ACYLMBYN	SHAWSHAW	2	2.S.C 2.H.C 2.A.V 2.W.c 2.S.c 2.H.C 2.A.V 2.W.c	2.0 1.5 1.3 1.1 1.1 1.75 1.3 0.8	0	35
#
81	bell	شقلقيل	shgilgīl	EGYPTIAN ARABIC	81	s h g i l g ī l	3 3 1 7 5 1 7 5	AMBYMBYN	SHKILKIL	2	2.S.C 2.H.c 2.K.C 2.I.V 2.L.c 2.K.C 2.I.V 2.L.c	2.0 1.1 1.75 1.3 1.1 1.75 1.3 0.8	0	36
190	bell	ⲱⲕⲓⲗⲕⲓⲗ	shkilkil	COPTIC	81	s h k i l k i l	3 3 1 7 5 1 7 5	AMBYMBYN	SHKILKIL	1	1.S.C 1.H.c 1.K.C 1.I.V 1.L.c 1.K.C 1.I.V 1.L.c	2.0 1.1 1.75 1.3 1.1 1.75 1.3 0.8	0	36
#
65	big	نوش	nūsh	EGYPTIAN ARABIC	65	n ū s h	4 7 3 3	AXLN	NYSH	2	2.N.C 2.Y.V 2.S.c 2.H.c	2.0 1.5 1.1 0.8	0	37
#
97	border or boundary	طاش	tãsh	EGYPTIAN ARABIC	97	t ã s h	1 7 3 3	AXLN	TASH	2	2.T.C 2.A.V 2.S.c 2.H.c	2.0 1.5 1.1 0.8	0	38
#
200	brine	ⲇⲓⲣ	dir	COPTIC	91	d i r	1 7 5	AXN	TIR	1	1.T.C 1.I.V 1.R.c	2.0 1.5 0.8	0	39
#
8	bubble	بقلوله	baglūla	EGYPTIAN ARABIC	8	b a g l ū l a	1 7 1 5 7 5 7	AXBCYBZ	PAKLYLA	2	2.P.C 2.A.V 2.K.C 2.L.C 2.Y.V 2.L.C 2.A.V	2.0 1.5 1.75 1.5 1.3 1.75 0.8	0	40
#
158	burial or corpse	ⲕⲏⲥ	kēs	COPTIC	49	k ē s	1 7 3	AXN	KES	1	1.K.C 1.E.V 1.S.c	2.0 1.5 0.8	0	41
#
25	buttocks	فلت	falt	EGYPTIAN ARABIC	25	f a l t	3 7 5 1	AXLN	BALT	2	2.B.C 2.A.V 2.L.c 2.T.c	2.0 1.5 1.1 0.8	0	42
#
45	cake	كعكه	ka'ka	EGYPTIAN ARABIC	45	k a 'k a	1 7 1 7	AXBZ	KAKA	2	2.K.C 2.A.V 2.K.C 2.A.V	2.0 1.5 1.75 0.8	0	43
154	cake	ⲕⲁⲕⲉ	kake	COPTIC	45	k a k e	1 7 1 7	AXBZ	KAKE	1	1.K.C 1.A.V 1.K.C 1.E.V	2.0 1.5 1.75 0.8	0	43
#
40	carriage drawn by horses	حنطور	hantūr	EGYPTIAN ARABIC	40	h a n t ū r	3 7 4 1 7 5	AXMBYN	HANTYR	2	2.H.C 2.A.V 2.N.c 2.T.C 2.Y.V 2.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	44
#
87	censor	شوريه	shūriya	EGYPTIAN ARABIC	87	s h ū r iya	3 3 7 5 7	ACYBZ	SHYRI	2	2.S.C 2.H.C 2.Y.V 2.R.C 2.I.V	2.0 1.5 1.3 1.75 0.8	0	45
196	censor	ⲱⲟⲩⲣⲏ	shourē	COPTIC	87	s h ou r ē	3 3 7 5 7	ACYBZ	SHURE	1	1.S.C 1.H.C 1.U.V 1.R.C 1.E.V	2.0 1.5 1.3 1.75 0.8	0	45
#
147	cheese	ϩⲁⲗⲱⲙ	halōm	COPTIC	38	h a l ō m	3 7 5 7 4	AXBYN	HALUM	1	1.H.C 1.A.V 1.L.C 1.U.V 1.M.c	2.0 1.5 1.75 1.3 0.8	0	46
#
122	clover	ⲃⲉⲣⲥⲓⲙ	bersim	COPTIC	13	b e r s i m	1 7 5 3 7 4	AXMBYN	PERSIM	1	1.P.C 1.E.V 1.R.c 1.S.C 1.I.V 1.M.c	2.0 1.5 1.1 1.75 1.3 0.8	0	47
#
13	clover or alfafa	برسيم	barsīm	EGYPTIAN ARABIC	13	b a r s ī m	1 7 5 3 7 4	AXMBYN	PARSIM	2	2.P.C 2.A.V 2.R.c 2.S.C 2.I.V 2.M.c	2.0 1.5 1.1 1.75 1.3 0.8	0	48
#
32	cobweb	هلوس	hallūs	EGYPTIAN ARABIC	32	h a ll ū s	3 7 5 7 3	AXBYN	HALYS	2	2.H.C 2.A.V 2.L.C 2.Y.V 2.S.c	2.0 1.5 1.75 1.3 0.8	0	49
#
17	cooked beans	بساره	bisāra	EGYPTIAN ARABIC	17	b i s ā r a	1 7 3 7 5 7	AXBYBZ	PISARA	2	2.P.C 2.I.V 2.S.C 2.A.V 2.R.C 2.A.V	2.0 1.5 1.75 1.3 1.75 0.8	0	50
#
38	cream cheese	حلوم	halūm	EGYPTIAN ARABIC	38	h a l ū m	3 7 5 7 4	AXBYN	HALYM	2	2.H.C 2.A.V 2.L.C 2.Y.V 2.M.c	2.0 1.5 1.75 1.3 0.8	0	51
#
44	crepitus ventris	جكس	juks	EGYPTIAN ARABIC	44	j u k s	6 7 1 3	AXBC	JYKS	2	2.J.C 2.Y.V 2.K.C 2.S.C	2.0 1.5 1.75 1.5	0	52
153	crepitus ventris	ⲇⲟⲕⲥⲓ	doksi	COPTIC	44	d o k s i	1 7 1 3 7	AXBCZ	TUKSI	1	1.T.C 1.U.V 1.K.C 1.S.C 1.I.V	2.0 1.5 1.75 1.5 0.8	0	52
#
94	crocodile	تمساح	timsāh	EGYPTIAN ARABIC	94	t i m s ā h	1 7 4 3 7 3	AXMBYN	TIMSAH	2	2.T.C 2.I.V 2.M.c 2.S.C 2.A.V 2.H.c	2.0 1.5 1.1 1.75 1.3 0.8	0	53
#
64	delicate, nice, mignonne	ننوس	nannūs	EGYPTIAN ARABIC	64	n a nn ū s	4 7 4 7 3	AXBYN	NANYS	2	2.N.C 2.A.V 2.N.C 2.Y.V 2.S.c	2.0 1.5 1.75 1.3 0.8	0	54
#
50	dirty	كخ	kekh	EGYPTIAN ARABIC	50	k e k h	1 7 1 3	AXBC	KEKH	2	2.K.C 2.E.V 2.K.C 2.H.C	2.0 1.5 1.75 1.5	0	55
#
98	east wind	طياب	tayāb	EGYPTIAN ARABIC	98	t ay ā b	1 7 7 1	AXYN	TAAP	2	2.T.C 2.A.V 2.A.V 2.P.c	2.0 1.5 1.3 0.8	0	56
#
58	fanfaron, boaster, blusterer	مهياص	mihyās	EGYPTIAN ARABIC	58	m i h y ā s	4 7 3 7 7 3	AXBYYN	MIHYAS	2	2.M.C 2.I.V 2.H.C 2.Y.V 2.A.V 2.S.c	2.0 1.5 1.75 1.3 1.3 0.8	0	57
#
186	fennel	ⲥⲁⲙⲁϩⲏⲣ	samahēr	COPTIC	77	s a m a h ē r	3 7 4 7 3 7 5	AXBYBYN	SAMAHER	1	1.S.C 1.A.V 1.M.C 1.A.V 1.H.C 1.E.V 1.R.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	58
#
66	fever, typically typhoid	نوشه	nūsha	EGYPTIAN ARABIC	66	n ū s h a	4 7 3 3 7	AXMBZ	NYSHA	2	2.N.C 2.Y.V 2.S.c 2.H.C 2.A.V	2.0 1.5 1.1 1.75 0.8	0	59
#
180	fine flour	ⲥⲁⲙⲓⲧ	samit	COPTIC	71	s a m i t	3 7 4 7 1	AXBYN	SAMIT	1	1.S.C 1.A.V 1.M.C 1.I.V 1.T.c	2.0 1.5 1.75 1.3 0.8	0	60
#
194	fire or to scorch	ϣⲟⲡϩ	shoph	COPTIC	85	s h o p h	3 3 7 1 3	ACYBC	SHUPH	1	1.S.C 1.H.C 1.U.V 1.P.C 1.H.C	2.0 1.5 1.3 1.75 1.5	0	61
#
75	fish	شال	shāl	EGYPTIAN ARABIC	75	s h ā l	3 3 7 5	ACYN	SHAL	2	2.S.C 2.H.C 2.A.V 2.L.c	2.0 1.5 1.3 0.8	0	63
184	fish	ⲕⲏⲗ	kēl	COPTIC	75	k ē l	1 7 5	AXN	KEL	1	1.K.C 1.E.V 1.L.c	2.0 1.5 0.8	1	62
#
160	fish cyprinus niloticus	ⲗⲁⲃⲏⲥ	labēs	COPTIC	51	l a b ē s	5 7 1 7 3	AXBYN	LAPES	1	1.L.C 1.A.V 1.P.C 1.E.V 1.S.c	2.0 1.5 1.75 1.3 0.8	0	64
#
178	fish, alestes dentes	ⲣⲏⲓ	rēi	COPTIC	69	r ē i	5 7 7	AXZ	REI	1	1.R.C 1.E.V 1.I.V	2.0 1.5 0.8	0	65
#
129	fish, nurgil cephalus	ⲃⲱⲣⲉ	bōre	COPTIC	20	b ō r e	1 7 5 7	AXBZ	PURE	1	1.P.C 1.U.V 1.R.C 1.E.V	2.0 1.5 1.75 0.8	0	66
#
191	fish, silurus mystus	ϭⲗⲃⲟⲟⲩ	shlboou	COPTIC	82	s h l b oou	3 3 5 1 7	ACYBZ	SHLPU	1	1.S.C 1.H.C 1.L.V 1.P.C 1.U.V	2.0 1.5 1.3 1.75 0.8	0	67
#
177	fish, tilapia	ⲣⲁⲙⲉ	rame	COPTIC	68	r a m e	5 7 4 7	AXBZ	RAME	1	1.R.C 1.A.V 1.M.C 1.E.V	2.0 1.5 1.75 0.8	0	68
#
14	flamingo	بشروش	basharōsh	EGYPTIAN ARABIC	14	b a s h a r ō s h	1 7 3 3 7 5 7 3 3	AXMBYBYLN	PASHARUSH	2	2.P.C 2.A.V 2.S.c 2.H.C 2.A.V 2.R.C 2.U.V 2.S.c 2.H.c	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.1 0.8	0	69
#
109	flatus ventris	ظرطه	zarta	EGYPTIAN ARABIC	109	z a r t a	3 7 5 1 7	AXMBZ	SARTA	2	2.S.C 2.A.V 2.R.c 2.T.C 2.A.V	2.0 1.5 1.1 1.75 0.8	0	71
218	flatus ventris	ⲥⲁⲣϭⲁⲧⲥⲉ	sarchatse	COPTIC	109	s a r c h a t s e	3 7 5 1 3 7 1 3 7	AXMBCYBCZ	SARCHATSE	1	1.S.C 1.A.V 1.R.c 1.C.C 1.H.C 1.A.V 1.T.C 1.S.C 1.E.V	2.0 1.5 1.1 1.75 1.5 1.3 1.75 1.5 0.8	0	70
#
74	fog	شبوره	shabbūra	EGYPTIAN ARABIC	74	s h a bb ū r a	3 3 7 1 7 5 7	ACYBYBZ	SHAPYRA	2	2.S.C 2.H.C 2.A.V 2.P.C 2.Y.V 2.R.C 2.A.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	0	72
#
185	foot	ϭⲁⲗⲟⲇ	chalod	COPTIC	76	c h a l o d	1 3 7 5 7 1	ACXBYN	CHALUT	1	1.C.C 1.H.C 1.A.V 1.L.C 1.U.V 1.T.c	2.0 1.5 1.5 1.75 1.3 0.8	0	73
#
176	fraction of four or quarter	ⲣⲁϥⲧⲟⲟⲩ	raftoou	COPTIC	67	r a f t oou	5 7 3 1 7	AXMBZ	RABTU	1	1.R.C 1.A.V 1.B.c 1.T.C 1.U.V	2.0 1.5 1.1 1.75 0.8	0	74
#
116	fragment	ⲡⲟⲕⲉ	poke	COPTIC	7	p o k e	1 7 1 7	AXBZ	PUKE	1	1.P.C 1.U.V 1.K.C 1.E.V	2.0 1.5 1.75 0.8	0	75
#
107	fresh	ورور	wirwir	EGYPTIAN ARABIC	107	w i r w i r	6 7 5 6 7 5	AXBCYN	WIRWIR	2	2.W.C 2.I.V 2.R.C 2.W.C 2.I.V 2.R.c	2.0 1.5 1.75 1.5 1.3 0.8	0	76
#
9	frog	بقرور	bagrūr	EGYPTIAN ARABIC	9	b a g r ū r	1 7 1 5 7 5	AXBCYN	PAKRYR	2	2.P.C 2.A.V 2.K.C 2.R.C 2.Y.V 2.R.c	2.0 1.5 1.75 1.5 1.3 0.8	0	77
#
167	full of hurry	ⲙⲉϩⲛⲓⲱⲥ	mehniōs	COPTIC	58	m e h n i ō s	4 7 3 4 7 7 3	AXBCYYN	MEHNIUS	1	1.M.C 1.E.V 1.H.C 1.N.C 1.I.V 1.U.V 1.S.c	2.0 1.5 1.75 1.5 1.3 1.3 0.8	0	78
#
151	garment of wool	ϭⲟⲗⲃⲉ	cholbe	COPTIC	42	c h o l b e	1 3 7 5 1 7	ACXMBZ	CHULPE	1	1.C.C 1.H.C 1.U.V 1.L.c 1.P.C 1.E.V	2.0 1.5 1.5 1.1 1.75 0.8	0	79
#
42	garment, the main dress of the Egyptian fellahin	جلابيه	jallābiyya	EGYPTIAN ARABIC	42	j a ll ā b iyya	6 7 5 7 1 7	AXBYBZ	JALAPI	2	2.J.C 2.A.V 2.L.C 2.A.V 2.P.C 2.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	80
#
31	garrulous or talkative	هجاص	hajjās	EGYPTIAN ARABIC	31	h a jj ā s	3 7 6 7 3	AXBYN	HAJAS	2	2.H.C 2.A.V 2.J.C 2.A.V 2.S.c	2.0 1.5 1.75 1.3 0.8	0	81
#
95	gather	توت	tūt	EGYPTIAN ARABIC	95	t ū t	1 7 1	AXN	TYT	2	2.T.C 2.Y.V 2.T.c	2.0 1.5 0.8	0	82
#
170	grain	ⲛⲁⲡⲣⲉ	napri	COPTIC	61	n a p r i	4 7 1 5 7	AXBCZ	NAPRI	1	1.N.C 1.A.V 1.P.C 1.R.C 1.I.V	2.0 1.5 1.75 1.5 0.8	0	83
#
174	great or big	ⲛⲟϭ	noch	COPTIC	65	n o c h	4 7 1 3	AXBC	NUCH	1	1.N.C 1.U.V 1.C.C 1.H.C	2.0 1.5 1.75 1.5	0	84
#
131	gruel	ⲡⲟⲟⲩϣ	pooush	COPTIC	22	p oou s h	1 7 3 3	AXLN	PUSH	1	1.P.C 1.U.V 1.S.c 1.H.c	2.0 1.5 1.1 0.8	0	85
#
113	hades or the western place	ⲁⲙⲉⲛϯ	amenti	COPTIC	4	a m e n t i	7 4 7 4 1 7	XBYMBZ	AMENTI	1	1.A.V 1.M.C 1.E.V 1.N.c 1.T.C 1.I.V	1.5 1.75 1.3 1.1 1.75 0.8	0	86
#
41	he gave	إدى	idda	EGYPTIAN ARABIC	41	i dd a	7 1 7	XBZ	ITA	2	2.I.V 2.T.C 2.A.V	1.5 1.75 0.8	0	87
#
63	heat of the day	نقره	nagra	EGYPTIAN ARABIC	63	n a g r a	4 7 1 5 7	AXBCZ	NAKRA	2	2.N.C 2.A.V 2.K.C 2.R.C 2.A.V	2.0 1.5 1.75 1.5 0.8	0	88
85	heat of the day	شوب	shōb	EGYPTIAN ARABIC	85	s h ō b	3 3 7 1	ACYN	SHUP	2	2.S.C 2.H.C 2.U.V 2.P.c	2.0 1.5 1.3 0.8	0	89
#
4	hell	أمندي	amandi	EGYPTIAN ARABIC	4	a m a n d i	7 4 7 4 1 7	XBYMBZ	AMANTI	2	2.A.V 2.M.C 2.A.V 2.N.c 2.T.C 2.I.V	1.5 1.75 1.3 1.1 1.75 0.8	0	90
#
169	here	ⲙⲛⲁⲓ	mnai	COPTIC	60	m n ai	4 4 7	ACZ	MNA	1	1.M.C 1.N.C 1.A.V	2.0 1.5 0.8	0	91
#
12	heron	بلشوم	balshūm	EGYPTIAN ARABIC	12	b a l s h ū m	1 7 5 3 3 7 4	AXLMBYN	PALSHYM	2	2.P.C 2.A.V 2.L.c 2.S.c 2.H.C 2.Y.V 2.M.c	2.0 1.5 1.1 1.1 1.75 1.3 0.8	0	92
#
132	high water, inundation	ⲧⲉⲙⲏⲣⲉ	temēre	COPTIC	23	t e m ē r e	1 7 4 7 5 7	AXBYBZ	TEMERE	1	1.T.C 1.E.V 1.M.C 1.E.V 1.R.C 1.E.V	2.0 1.5 1.75 1.3 1.75 0.8	0	93
#
60	hither	مناى	mnāy	EGYPTIAN ARABIC	60	m n ā y	4 4 7 7	ACYZ	MNAY	2	2.M.C 2.N.C 2.A.V 2.Y.V	2.0 1.5 1.3 0.8	0	94
#
155	hood, cowl of monks	ⲕⲟⲩⲕⲗⲉ	koukle	COPTIC	46	k ou k l e	1 7 1 5 7	AXBCZ	KUKLE	1	1.K.C 1.U.V 1.K.C 1.L.C 1.E.V	2.0 1.5 1.75 1.5 0.8	0	95
#
149	horses	ϩⲧⲱⲱⲣ	htoor	COPTIC	40	h t oo r	3 1 7 5	ACYN	HTUR	1	1.H.C 1.T.C 1.U.V 1.R.c	2.0 1.5 1.3 0.8	0	96
#
111	hours	ⲁϫⲡⲓ	adpi	COPTIC	2	a d p i	7 1 1 7	XMBZ	ATPI	1	1.A.V 1.T.c 1.P.C 1.I.V	1.5 1.1 1.75 0.8	0	97
#
99	invitation	طهمه	tohma	EGYPTIAN ARABIC	99	t o h m a	1 7 3 4 7	AXBCZ	TUHMA	2	2.T.C 2.U.V 2.H.C 2.M.C 2.A.V	2.0 1.5 1.75 1.5 0.8	0	98
#
173	it is nice	ⲛⲁⲛⲟⲩⲥ	nanous	COPTIC	64	n a n ou s	4 7 4 7 3	AXBYN	NANUS	1	1.N.C 1.A.V 1.N.C 1.U.V 1.S.c	2.0 1.5 1.75 1.3 0.8	0	99
#
217	jar	ⲥⲓⲣ	sir	COPTIC	108	s i r	3 7 5	AXN	SIR	1	1.S.C 1.I.V 1.R.c	2.0 1.5 0.8	0	100
#
84	large drawers out of mode	شنتيان	shintyān	EGYPTIAN ARABIC	84	s h i n t y ā n	3 3 7 4 1 7 7 4	ACYMBYYN	SHINTYAN	2	2.S.C 2.H.C 2.I.V 2.N.c 2.T.C 2.Y.V 2.A.V 2.N.c	2.0 1.5 1.3 1.1 1.75 1.3 1.3 0.8	0	101
#
108	large water pitcher	زير	zīr	EGYPTIAN ARABIC	108	z ī r	3 7 5	AXN	SIR	2	2.S.C 2.I.V 2.R.c	2.0 1.5 0.8	0	102
#
206	limit, boundary	ⲧⲁϣ	tash	COPTIC	97	t a s h	1 7 3 3	AXLN	TASH	1	1.T.C 1.A.V 1.S.c 1.H.c	2.0 1.5 1.1 0.8	0	103
#
39	lizard	حندوس	handūs	EGYPTIAN ARABIC	39	h a n d ū s	3 7 4 1 7 3	AXMBYN	HANTYS	2	2.H.C 2.A.V 2.N.c 2.T.C 2.Y.V 2.S.c	2.0 1.5 1.1 1.75 1.3 0.8	0	104
